date,date_pk,date_long_description,date_short_description,day_long_name,day_short_name,month_long_name,month_short_name,calendar_day,calendar_week,calendar_week_start_date,calendar_week_end_date,calendar_day_in_week,calendar_month,calendar_month_start_date,calendar_month_end_date,calendar_number_of_days_in_month,calendar_day_in_month,calendar_quarter,calendar_quarter_start_date,calendar_quarter_end_date,calendar_number_of_days_in_quarter,calendar_day_in_quarter
2016-01-01,20160101,"Friday, January 1, 2016","Jan 1, 2016",Friday,Fri,January,Jan,1,53,2015-12-28,2016-01-03,5,1,2016-01-01,2016-01-31,31,1,1,2016-01-01,2016-03-31 23:59:59.999999999,91,1
2016-01-02,20160102,"Saturday, January 2, 2016","Jan 2, 2016",Saturday,Sat,January,Jan,2,53,2015-12-28,2016-01-03,6,1,2016-01-01,2016-01-31,31,2,1,2016-01-01,2016-03-31 23:59:59.999999999,91,2
2016-01-03,20160103,"Sunday, January 3, 2016","Jan 3, 2016",Sunday,Sun,January,Jan,3,53,2015-12-28,2016-01-03,7,1,2016-01-01,2016-01-31,31,3,1,2016-01-01,2016-03-31 23:59:59.999999999,91,3
2016-01-04,20160104,"Monday, January 4, 2016","Jan 4, 2016",Monday,Mon,January,Jan,4,1,2016-01-04,2016-01-10,1,1,2016-01-01,2016-01-31,31,4,1,2016-01-01,2016-03-31 23:59:59.999999999,91,4
2016-01-05,20160105,"Tuesday, January 5, 2016","Jan 5, 2016",Tuesday,Tue,January,Jan,5,1,2016-01-04,2016-01-10,2,1,2016-01-01,2016-01-31,31,5,1,2016-01-01,2016-03-31 23:59:59.999999999,91,5
2016-01-06,20160106,"Wednesday, January 6, 2016","Jan 6, 2016",Wednesday,Wed,January,Jan,6,1,2016-01-04,2016-01-10,3,1,2016-01-01,2016-01-31,31,6,1,2016-01-01,2016-03-31 23:59:59.999999999,91,6
2016-01-07,20160107,"Thursday, January 7, 2016","Jan 7, 2016",Thursday,Thu,January,Jan,7,1,2016-01-04,2016-01-10,4,1,2016-01-01,2016-01-31,31,7,1,2016-01-01,2016-03-31 23:59:59.999999999,91,7
2016-01-08,20160108,"Friday, January 8, 2016","Jan 8, 2016",Friday,Fri,January,Jan,8,1,2016-01-04,2016-01-10,5,1,2016-01-01,2016-01-31,31,8,1,2016-01-01,2016-03-31 23:59:59.999999999,91,8
2016-01-09,20160109,"Saturday, January 9, 2016","Jan 9, 2016",Saturday,Sat,January,Jan,9,1,2016-01-04,2016-01-10,6,1,2016-01-01,2016-01-31,31,9,1,2016-01-01,2016-03-31 23:59:59.999999999,91,9
2016-01-10,20160110,"Sunday, January 10, 2016","Jan 10, 2016",Sunday,Sun,January,Jan,10,1,2016-01-04,2016-01-10,7,1,2016-01-01,2016-01-31,31,10,1,2016-01-01,2016-03-31 23:59:59.999999999,91,10
2016-01-11,20160111,"Monday, January 11, 2016","Jan 11, 2016",Monday,Mon,January,Jan,11,2,2016-01-11,2016-01-17,1,1,2016-01-01,2016-01-31,31,11,1,2016-01-01,2016-03-31 23:59:59.999999999,91,11
